"","fips_code","total_cases_per_100k","total_deaths_per_100k","E_TOTPOP","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT"
"892","20021",38869.9690402477,531.475748194014,19380,26.9,2.3,21.6,10.1,10.3,19.5,23.1,20.9,5.3,0.1,13.9,1.6,8.5,2.4,7.4,1.2,18.8
"893","20023",28140.5116456663,610.920198549065,2619,25.1,1.8,20.9,10.8,14.4,25.8,21.3,16,4.5,2.5,10.5,0.3,3,1.6,2.7,1.5,16.2
"894","20025",31208.9023773394,404.653515427415,1977,19.4,1,14.4,5.8,6.4,23.3,25.4,17.6,3.5,3,15.7,0.9,4.5,1.7,4.1,2.9,17.5
"895","20027",30353.6102868447,605.835806132542,8088,18.8,1.4,26.5,5.8,5.5,24.3,23.5,18.7,6.2,0.2,7.8,5.9,3.1,2.6,7.4,2.2,22.2
"896","20029",29873.4458259325,555.0621669627,9008,25.4,4.7,21.3,4.1,11.5,20.9,23.3,13.2,4.1,0.6,9.5,2.9,2.6,0.6,6.3,5,20.6
"897","20031",34065.2747780178,575.953923686105,8334,20.9,5.3,15,6.3,9,21.7,21.9,17.3,7.1,0.3,7.8,1.8,8.3,1.2,4.9,1.7,12.9
"898","20033",30082.1917808219,986.301369863014,1825,15.7,3.8,17.9,3.5,8.8,26.7,22.6,18.4,7.1,0.1,4.3,1.3,3.4,3.4,3.9,3.6,19.8
"899","20035",36132.8294048066,510.660396410951,34661,23.8,5.3,22.7,8.3,9.3,18.5,23.5,18.8,7.7,1.2,22.2,4.6,9.5,1.9,6.2,6.6,17.4
"900","20037",39275.0948426125,381.933763970061,39012,30.9,3.9,28,5.7,11,15.5,22.1,16,7.6,0.4,14.6,7.3,4.9,4.5,8.8,4.9,14.5
"901","20039",28762.1797185132,793.937206784554,2771,19.3,4.9,12.5,6.4,7.5,28.2,20.8,18,3.7,0.2,7.8,0.4,5.5,0,2.9,1.8,15.2
"902","20041",32143.6296776984,589.444083928185,18492,15,3,19.4,6.4,10.5,20.6,22.8,16.3,3.8,0.6,10.9,5.6,2.3,0.2,5.9,1.8,15.3
